index,english_name,hindi_name,english_one_line,hindi_one_line
1,Bhairavaaya,भैरवाय,Salutations To The one who is terrifying and destroys fear.,भयभीत करने वाले और भय को नष्ट करने वाले (भैरव) को नमन।
2,Bhuutanaathaaya,भूतनाथाय,"Salutations To The  lord and master of all beings, including ghosts and spirits.",भूतों और आत्माओं सहित सभी प्राणियों के स्वामी और प्रभु को नमन।
3,Bhuutaatmane,भूतात्मने,Salutations To The one who is the very soul and essence of all living beings.,सभी जीवित प्राणियों की आत्मा और सार के स्वरूप को नमन।
4,Bhuutabhaavanaaya,भूतभावनाय,Salutations To The  creator and nurturer of all beings in the universe.,ब्रह्मांड के सभी प्राणियों के निर्माता और पालक को नमन।
5,Bhuutavaasaaya,भूतवासाय,Salutations To The one who resides within all of existence and in whom all beings dwell.,उन प्रभु को नमन जो समस्त अस्तित्व में निवास करते हैं और जिनमें सभी प्राणी निवास करते हैं।
6,Bhuutaduutaaya,भूतदूताय,Salutations To The one who has ghosts and spirits as his messengers.,"जिनके दूत भूत और आत्माएँ हैं, उन्हें नमन।"
7,Bhuurishaaya,भूरिशाय,Salutations To The one who possesses great wealth and abundance.,महान धन और प्रचुरता के स्वामी को नमन।
8,Bhuuridakshinaaya,भूरिदक्षिणाय,Salutations To The one who is extremely generous and gives great rewards.,"जो अत्यंत उदार हैं और महान फल प्रदान करते हैं, उन्हें नमन।"
9,Bhuutaadhyakshaaya,भूताध्यक्षाय,Salutations To The  supreme overseer and presides over all beings.,सभी प्राणियों के सर्वोच्च निरीक्षक और नियंत्रक को नमन।
10,Bhuutapataye,भूतपतये,Salutations To The  commander and protector of all beings.,सभी प्राणियों के सेनापति और रक्षक को नमन।
11,Bhuudharaaya,भूधराय,Salutations To The one who supports the Earth.,पृथ्वी को धारण करने वाले को नमन।
12,Bhuudharaatmajaaya,भूधरात्मजाय,"Salutations To The  son of the mountain-bearer (often referring to Parvati's son, but here an epithet of Bhairava's power).",पर्वत धारण करने वाली (पार्वती) के पुत्र को नमन (यह भैरव की शक्ति का विशेषण है)।
13,Bhuupataye,भूपतये,Salutations To The  supreme lord of the Earth.,पृथ्वी के सर्वोच्च स्वामी को नमन।
14,Bhaaskaraaya,भास्कराय,Salutations To The one who is radiant and effulgent like the sun.,सूर्य के समान तेजस्वी और दीप्तिमान को नमन।
15,Bhiirave,भीरोवे,Salutations To The one who is formidable and inspires awe.,"जो दुर्जेय और विस्मयकारी हैं, उन्हें नमन।"
16,Bhiimaaya,भीमाय,Salutations To The one who is of immense and dreadful strength.,अत्यधिक और भयंकर शक्ति वाले (भीम) को नमन।
17,Bhuumaye,भूमये,Salutations To The one who is the Earth itself.,पृथ्वी स्वरूप को नमन।
18,Vibhuutidaaya,विभूतिदायाय,"Salutations To The  bestower of divine powers, prosperity, and sacred ash.","दिव्य शक्तियों, समृद्धि और पवित्र भस्म प्रदान करने वाले (विभूतिदाता) को नमन।"
19,Bhuutaaya,भूताय,Salutations To The one who has come into being and exists as all of creation.,"जो अस्तित्व में आए हैं और संपूर्ण सृष्टि के रूप में विद्यमान हैं, उन्हें नमन।"
20,Bhuukampanaaya,भूकम्पनाय,Salutations To The one who can cause the earth to tremble.,धरती को कंपाने वाले (भैरव) को नमन।
21,Bhuuminaamne,भूमिनाम्ने,Salutations To The one who is known by all the names of the Earth.,पृथ्वी के सभी नामों से जाने जाने वाले (कालभैरव) को नमन।
22,Bhuutaabhibhaavakaaya,भूताभिभावकाय,Salutations To The one who evokes and manifests spirits.,"उन (कालभैरव) को नमन, जो आत्माओं का आह्वान और प्रकटीकरण करते हैं।"
